Mod,likes,downloads,time,unique_dl,views,dl_dif
27498,10,258,2240,192,8582,66
12689,18,894,3022,651,24678,243
45458,0,15,457,13,1613,2
8941,7,202,3222,144,7173,58
33465,10,584,1939,481,8182,103
41605,19,809,1386,600,22797,209
24416,7,291,2384,197,3222,94
41341,0,46,1425,31,3315,15
3808,27,942,3492,782,25745,160
23069,1339,35712,2448,26825,106878,8887
41354,12,285,1423,226,15245,59
7807,17,299,3304,241,12343,58
27851,9,425,2219,337,8088,88
11367,2422,90987,3092,63727,213742,27260
40096,300,9090,1550,6505,47862,2585
32284,0,96,1988,84,4603,12
36053,7,210,1804,187,7834,23
8936,10,295,3223,202,2312,93
44392,114,2066,759,1463,11155,603
44013,33,524,820,388,5690,136
13022,8,394,3002,312,8523,82
30058,73,6655,2102,5282,31328,1373
42652,5,210,1189,129,6578,81
36453,8,257,1783,205,6652,52
13320,16,582,2975,443,8434,139
39540,6,72,1585,59,3637,13
46128,1,35,192,30,985,5
20853,1,169,2568,144,4863,25
38583,14,331,1644,245,3007,86
7547,68,4547,3321,3558,40361,989
36008,8,1455,1807,1181,7280,274
18392,5,479,2689,400,6565,79
20238,6,237,2600,195,11362,42
43123,11,162,1064,120,7428,42
16998,38,2819,2757,2043,49164,776
45310,72,1045,494,778,8081,267
26056,4,128,2310,104,2916,24
4492,225,11352,3469,7909,83013,3443
9705,1,7,3177,5,1551,2
23131,6,211,2445,154,2154,57
38766,8,851,1632,524,10930,327
24197,241,16743,2394,11074,135600,5669
3844,147,3009,3491,2260,21417,749
35875,18,443,1817,351,5174,92
43705,8,112,880,96,2569,16
27025,19,378,2268,305,7012,73
5057,22,206979,3444,73158,18399,133821
37843,27,749,1695,579,9237,170
44889,53,492,641,368,6509,124
31925,2,141,2007,104,4940,37
36384,69,2339,1786,1793,12300,546
8560,52,2568,3245,2081,23257,487
7256,31,793,3338,540,14201,253
43723,102,1428,874,1075,11535,353
4551,37,1086,3467,824,11291,262
8427,1,64,3254,53,1929,11
29293,0,41,2140,29,3757,12
11652,112,7129,3076,4953,69135,2176
27692,3,613,2229,499,11372,114
14377,87,7867,2895,5833,56302,2034
44830,98,960,657,858,18211,102
11038,16,490,3109,346,4277,144
31348,39,1450,2037,1137,11847,313
32310,6,325,1987,287,6112,38
9573,3,145,3183,123,4719,22
2560,64,2482,3515,1820,16861,662
19714,47,1412,2630,1092,15691,320
38554,16,417,1645,337,5765,80
12707,5,286,3021,235,4889,51
8019,0,56,3284,51,4840,5
12839,50,5184,3013,4062,62826,1122
5622,52,3546,3414,2713,69477,833
3176,36,1546,3505,1052,17031,494
1635,1,220,3578,183,5029,37
26465,19,2053,2292,1656,23363,397
42144,37,1061,1292,848,25904,213
1234,10,677,3762,551,12449,126
28938,564,22554,2158,16032,149527,6522
44587,26,310,727,229,6511,81
23314,68,1706,2436,1216,14008,490
35409,46,529,1853,381,6733,148
29541,5,164,2127,126,3840,38
38787,26,526,1630,448,8839,78
2039,38,833,3524,646,10134,187
34618,1,86,1896,74,4463,12
12545,2,196,3031,158,9385,38
24373,1,114,2386,92,3378,22
3843,0,43,3491,29,1905,14
36996,35,684,1750,510,10398,174
42208,201,3812,1278,2617,58812,1195
28429,8,2439,2186,1746,13428,693
6905,17,927,3357,718,7514,209
39554,6,192,1584,152,3207,40
44955,20,322,622,168,10006,154
19273,12,671,2652,487,12069,184
23716,68,3862,2416,2919,30744,943
3036,29,1098,3507,914,9088,184
42775,39,1191,1160,811,31781,380
29737,26,549,2118,450,5645,99
23747,34,1294,2415,1023,16161,271
40472,11,947,1519,722,12214,225
